nodeId,role,event,seq,idx,tot,bytes,rssi,snr,toa_ms,t_ms,dt_ms
TIM,B404AD08B764,TX,RETRY_MSG,5,-1,-1,0,-,-,0,617171,46
TIM,B404AD08B764,TX,MSG_TX,5,-1,-1,28,-,-,123,617475,304
TIM,B404AD08B764,TX,WAIT_ACK_START,5,-1,-1,0,-,-,0,617647,172
TIM,B404AD08B764,TX,WAIT_ACK_TO,5,-1,-1,0,-,-,0,619471,1824
TIM,B404AD08B764,TX,RETRY_MSG,5,-1,-1,0,-,-,0,619495,24
TIM,B404AD08B764,TX,MSG_TX,5,-1,-1,28,-,-,123,619754,259
TIM,B404AD08B764,TX,WAIT_ACK_START,5,-1,-1,0,-,-,0,619807,53
TIM,B404AD08B764,TX,WAIT_ACK_TO,5,-1,-1,0,-,-,0,621632,1825
TIM,B404AD08B764,TX,RETRY_MSG,5,-1,-1,0,-,-,0,621657,25
TIM,B404AD08B764,TX,ABORT,5,-1,-1,0,-,-,0,621792,135
TIM,B404AD08B764,TX,MSG_TX,6,-1,-1,31,-,-,134,621989,197
TIM,B404AD08B764,TX,WAIT_ACK_START,6,-1,-1,0,-,-,0,622044,55
TIM,B404AD08B764,TX,WAIT_ACK_TO,6,-1,-1,0,-,-,0,623870,1826
TIM,B404AD08B764,TX,RETRY_MSG,6,-1,-1,0,-,-,0,623896,26
TIM,B404AD08B764,TX,MSG_TX,6,-1,-1,31,-,-,134,624168,272
TIM,B404AD08B764,TX,WAIT_ACK_START,6,-1,-1,0,-,-,0,624361,193
TIM,B404AD08B764,TX,WAIT_ACK_TO,6,-1,-1,0,-,-,0,626189,1828
TIM,B404AD08B764,TX,RETRY_MSG,6,-1,-1,0,-,-,0,626217,28
TIM,B404AD08B764,TX,MSG_TX,6,-1,-1,31,-,-,134,626491,274
TIM,B404AD08B764,TX,WAIT_ACK_START,6,-1,-1,0,-,-,0,626570,79
TIM,B404AD08B764,TX,WAIT_ACK_TO,6,-1,-1,0,-,-,0,628399,1829
TIM,B404AD08B764,TX,RETRY_MSG,6,-1,-1,0,-,-,0,628427,28
TIM,B404AD08B764,TX,ABORT,6,-1,-1,0,-,-,0,628567,140
TIM,B404AD08B764,TX,MSG_TX,7,-1,-1,29,-,-,123,628757,190
TIM,B404AD08B764,TX,WAIT_ACK_START,7,-1,-1,0,-,-,0,628838,81
TIM,B404AD08B764,TX,WAIT_ACK_TO,7,-1,-1,0,-,-,0,630667,1829
TIM,B404AD08B764,TX,RETRY_MSG,7,-1,-1,0,-,-,0,630697,30
TIM,B404AD08B764,TX,MSG_TX,7,-1,-1,29,-,-,123,630963,266
TIM,B404AD08B764,TX,WAIT_ACK_START,7,-1,-1,0,-,-,0,631045,82
TIM,B404AD08B764,TX,WAIT_ACK_TO,7,-1,-1,0,-,-,0,632877,1832
TIM,B404AD08B764,TX,RETRY_MSG,7,-1,-1,0,-,-,0,632909,32
TIM,B404AD08B764,TX,MSG_TX,7,-1,-1,29,-,-,123,633176,267
TIM,B404AD08B764,TX,WAIT_ACK_START,7,-1,-1,0,-,-,0,633260,84
TIM,B404AD08B764,TX,WAIT_ACK_TO,7,-1,-1,0,-,-,0,635093,1833
TIM,B404AD08B764,TX,RETRY_MSG,7,-1,-1,0,-,-,0,635126,33
TIM,B404AD08B764,TX,ABORT,7,-1,-1,0,-,-,0,635270,144
TIM,B404AD08B764,TX,MSG_TX,8,-1,-1,53,-,-,185,635529,259
TIM,B404AD08B764,TX,WAIT_ACK_START,8,-1,-1,0,-,-,0,635619,90
TIM,B404AD08B764,TX,WAIT_ACK_TO,8,-1,-1,0,-,-,0,637456,1837
TIM,B404AD08B764,TX,RETRY_MSG,8,-1,-1,0,-,-,0,637493,37
TIM,B404AD08B764,TX,MSG_TX,8,-1,-1,53,-,-,185,637850,357
TIM,B404AD08B764,TX,WAIT_ACK_START,8,-1,-1,0,-,-,0,638130,280
TIM,B404AD08B764,TX,WAIT_ACK_TO,8,-1,-1,0,-,-,0,639991,1861
TIM,B404AD08B764,TX,RETRY_MSG,8,-1,-1,0,-,-,0,640052,61
TIM,B404AD08B764,TX,MSG_TX,8,-1,-1,53,-,-,185,640411,359
TIM,B404AD08B764,TX,WAIT_ACK_START,8,-1,-1,0,-,-,0,640548,137
TIM,B404AD08B764,TX,WAIT_ACK_TO,8,-1,-1,0,-,-,0,642410,1862
TIM,B404AD08B764,TX,RETRY_MSG,8,-1,-1,0,-,-,0,642472,62
TIM,B404AD08B764,TX,ABORT,8,-1,-1,0,-,-,0,642644,172
TIM,B404AD08B764,TX,MSG_TX,9,-1,-1,25,-,-,113,661797,19153
TIM,B404AD08B764,TX,WAIT_ACK_START,9,-1,-1,0,-,-,0,661935,138
TIM,B404AD08B764,TX,WAIT_ACK_TO,9,-1,-1,0,-,-,0,663801,1866
TIM,B404AD08B764,TX,RETRY_MSG,9,-1,-1,0,-,-,0,663867,66
TIM,B404AD08B764,TX,MSG_TX,9,-1,-1,25,-,-,113,664155,288
