time_ms,local_time,packet_type,sequence_no,fragment_idx,total_fragments,packet_size_bytes


67440,2025-10-06_18:50:58.447,MSGF,0,0,66,128
67971,2025-10-06_18:50:59.978,MSGF,0,1,66,128
68501,2025-10-06_18:50:59.508,MSGF,0,2,66,128
69031,2025-10-06_18:51:00.038,MSGF,0,3,66,128
69565,2025-10-06_18:51:00.572,MSGF,0,4,66,128
70095,2025-10-06_18:51:01.102,MSGF,0,5,66,128
70625,2025-10-06_18:51:01.632,MSGF,0,6,66,128
71155,2025-10-06_18:51:02.162,MSGF,0,7,66,128
71685,2025-10-06_18:51:02.692,MSGF,0,8,66,128
72227,2025-10-06_18:51:03.234,MSGF,0,9,66,128
72757,2025-10-06_18:51:03.764,MSGF,0,10,66,129
73297,2025-10-06_18:51:04.304,MSGF,0,11,66,129
73837,2025-10-06_18:51:05.844,MSGF,0,12,66,129
74377,2025-10-06_18:51:05.384,MSGF,0,13,66,129
74929,2025-10-06_18:51:06.936,MSGF,0,14,66,129
75470,2025-10-06_18:51:06.477,MSGF,0,15,66,129
76010,2025-10-06_18:51:07.017,MSGF,0,16,66,129
76550,2025-10-06_18:51:07.557,MSGF,0,17,66,129
77090,2025-10-06_18:51:08.097,MSGF,0,18,66,129
77642,2025-10-06_18:51:08.649,MSGF,0,19,66,129
78183,2025-10-06_18:51:09.190,MSGF,0,20,66,129
78723,2025-10-06_18:51:09.730,MSGF,0,21,66,129
79263,2025-10-06_18:51:10.270,MSGF,0,22,66,129
79803,2025-10-06_18:51:10.810,MSGF,0,23,66,129
80355,2025-10-06_18:51:11.362,MSGF,0,24,66,129
80896,2025-10-06_18:51:12.903,MSGF,0,25,66,129
81436,2025-10-06_18:51:12.443,MSGF,0,26,66,129
81976,2025-10-06_18:51:13.983,MSGF,0,27,66,129
82516,2025-10-06_18:51:13.523,MSGF,0,28,66,129
83068,2025-10-06_18:51:14.075,MSGF,0,29,66,129
83609,2025-10-06_18:51:14.616,MSGF,0,30,66,129
84149,2025-10-06_18:51:15.156,MSGF,0,31,66,129
84689,2025-10-06_18:51:15.696,MSGF,0,32,66,129
85229,2025-10-06_18:51:16.236,MSGF,0,33,66,129
85781,2025-10-06_18:51:16.788,MSGF,0,34,66,129
86322,2025-10-06_18:51:17.329,MSGF,0,35,66,129
86862,2025-10-06_18:51:18.869,MSGF,0,36,66,129
87402,2025-10-06_18:51:18.409,MSGF,0,37,66,129
87942,2025-10-06_18:51:19.949,MSGF,0,38,66,129
88494,2025-10-06_18:51:19.501,MSGF,0,39,66,129
90434,2025-10-06_18:51:21.441,MSGF,0,40,66,129
90974,2025-10-06_18:51:22.981,MSGF,0,41,66,129
91514,2025-10-06_18:51:22.521,MSGF,0,42,66,129
92054,2025-10-06_18:51:23.061,MSGF,0,43,66,129
92606,2025-10-06_18:51:23.613,MSGF,0,44,66,129
93147,2025-10-06_18:51:24.154,MSGF,0,45,66,129
93687,2025-10-06_18:51:24.694,MSGF,0,46,66,129
94227,2025-10-06_18:51:25.234,MSGF,0,47,66,129
94767,2025-10-06_18:51:25.774,MSGF,0,48,66,129
95319,2025-10-06_18:51:26.326,MSGF,0,49,66,129
