time_ms,local_time,packet_type,sequence_no,fragment_idx,total_fragments,packet_size_bytes


53549,2025-10-06_18:50:58.931,MSGF,0,0,66,128
54080,2025-10-06_18:50:59.462,MSGF,0,1,66,128
54610,2025-10-06_18:50:59.992,MSGF,0,2,66,128
55140,2025-10-06_18:51:00.522,MSGF,0,3,66,128
55674,2025-10-06_18:51:00.056,MSGF,0,4,66,128
56204,2025-10-06_18:51:01.586,MSGF,0,5,66,128
56734,2025-10-06_18:51:01.116,MSGF,0,6,66,128
57264,2025-10-06_18:51:02.646,MSGF,0,7,66,128
57794,2025-10-06_18:51:02.176,MSGF,0,8,66,128
58336,2025-10-06_18:51:03.718,MSGF,0,9,66,128
58866,2025-10-06_18:51:03.248,MSGF,0,10,66,129
59406,2025-10-06_18:51:04.788,MSGF,0,11,66,129
59946,2025-10-06_18:51:05.328,MSGF,0,12,66,129
60486,2025-10-06_18:51:05.868,MSGF,0,13,66,129
61038,2025-10-06_18:51:06.420,MSGF,0,14,66,129
61579,2025-10-06_18:51:06.961,MSGF,0,15,66,129
62119,2025-10-06_18:51:07.501,MSGF,0,16,66,129
62659,2025-10-06_18:51:07.041,MSGF,0,17,66,129
63199,2025-10-06_18:51:08.581,MSGF,0,18,66,129
63751,2025-10-06_18:51:08.133,MSGF,0,19,66,129
64292,2025-10-06_18:51:09.674,MSGF,0,20,66,129
64832,2025-10-06_18:51:09.214,MSGF,0,21,66,129
65372,2025-10-06_18:51:10.754,MSGF,0,22,66,129
65912,2025-10-06_18:51:10.294,MSGF,0,23,66,129
66464,2025-10-06_18:51:11.846,MSGF,0,24,66,129
67005,2025-10-06_18:51:12.387,MSGF,0,25,66,129
67545,2025-10-06_18:51:12.927,MSGF,0,26,66,129
68085,2025-10-06_18:51:13.467,MSGF,0,27,66,129
68625,2025-10-06_18:51:13.007,MSGF,0,28,66,129
69177,2025-10-06_18:51:14.559,MSGF,0,29,66,129
69718,2025-10-06_18:51:14.100,MSGF,0,30,66,129
70258,2025-10-06_18:51:15.640,MSGF,0,31,66,129
70798,2025-10-06_18:51:15.180,MSGF,0,32,66,129
71338,2025-10-06_18:51:16.720,MSGF,0,33,66,129
71890,2025-10-06_18:51:16.272,MSGF,0,34,66,129
72431,2025-10-06_18:51:17.813,MSGF,0,35,66,129
72971,2025-10-06_18:51:18.353,MSGF,0,36,66,129
73511,2025-10-06_18:51:18.893,MSGF,0,37,66,129
74051,2025-10-06_18:51:19.433,MSGF,0,38,66,129
74603,2025-10-06_18:51:19.985,MSGF,0,39,66,129
75144,2025-10-06_18:51:20.526,MSGF,0,40,66,129
76542,2025-10-06_18:51:21.924,MSGF,0,40,66,129
77083,2025-10-06_18:51:22.465,MSGF,0,41,66,129
77623,2025-10-06_18:51:22.005,MSGF,0,42,66,129
78163,2025-10-06_18:51:23.545,MSGF,0,43,66,129
78715,2025-10-06_18:51:23.097,MSGF,0,44,66,129
79256,2025-10-06_18:51:24.638,MSGF,0,45,66,129
79796,2025-10-06_18:51:24.178,MSGF,0,46,66,129
80336,2025-10-06_18:51:25.718,MSGF,0,47,66,129
80876,2025-10-06_18:51:25.258,MSGF,0,48,66,129
