time_ms,local_time,packet_type,sequence_no,fragment_idx,total_fragments,packet_size_bytes
53572,2025-10-06_17:41:09.585,MSGF,0,0,33,228
54367,2025-10-06_17:41:10.379,MSGF,0,1,33,228
55160,2025-10-06_17:41:11.172,MSGF,0,2,33,228
55953,2025-10-06_17:41:12.965,MSGF,0,3,33,228
56751,2025-10-06_17:41:12.763,MSGF,0,4,33,228
57545,2025-10-06_17:41:13.557,MSGF,0,5,33,228
58338,2025-10-06_17:41:14.350,MSGF,0,6,33,228
59131,2025-10-06_17:41:15.143,MSGF,0,7,33,228
59924,2025-10-06_17:41:15.936,MSGF,0,8,33,228
60728,2025-10-06_17:41:16.740,MSGF,0,9,33,228
61522,2025-10-06_17:41:17.534,MSGF,0,10,33,229
62326,2025-10-06_17:41:18.338,MSGF,0,11,33,229
63130,2025-10-06_17:41:19.142,MSGF,0,12,33,229
63934,2025-10-06_17:41:20.946,MSGF,0,13,33,229
64749,2025-10-06_17:41:20.761,MSGF,0,14,33,229
65553,2025-10-06_17:41:21.565,MSGF,0,15,33,229
66357,2025-10-06_17:41:22.369,MSGF,0,16,33,229
67161,2025-10-06_17:41:23.173,MSGF,0,17,33,229
67965,2025-10-06_17:41:24.977,MSGF,0,18,33,229
68779,2025-10-06_17:41:24.791,MSGF,0,19,33,229
69583,2025-10-06_17:41:25.595,MSGF,0,20,33,229
70387,2025-10-06_17:41:26.399,MSGF,0,21,33,229
71191,2025-10-06_17:41:27.203,MSGF,0,22,33,229
71995,2025-10-06_17:41:28.007,MSGF,0,23,33,229
72809,2025-10-06_17:41:28.821,MSGF,0,24,33,229
73613,2025-10-06_17:41:29.625,MSGF,0,25,33,229
74417,2025-10-06_17:41:30.429,MSGF,0,26,33,229
75221,2025-10-06_17:41:31.233,MSGF,0,27,33,229
76025,2025-10-06_17:41:32.037,MSGF,0,28,33,229
76839,2025-10-06_17:41:32.851,MSGF,0,29,33,229
77643,2025-10-06_17:41:33.655,MSGF,0,30,33,229
78447,2025-10-06_17:41:34.459,MSGF,0,31,33,229
79034,2025-10-06_17:41:35.042,MSGF,0,32,33,146
,,,,,,
89963,2025-10-06_17:41:46.975,MSGF,1,0,33,228
90762,2025-10-06_17:41:46.774,MSGF,1,1,33,228
91555,2025-10-06_17:41:47.567,MSGF,1,2,33,228
92348,2025-10-06_17:41:48.360,MSGF,1,3,33,228
93141,2025-10-06_17:41:49.153,MSGF,1,4,33,228
93940,2025-10-06_17:41:50.952,MSGF,1,5,33,228
94739,2025-10-06_17:41:50.751,MSGF,1,6,33,228
95532,2025-10-06_17:41:51.544,MSGF,1,7,33,228
96325,2025-10-06_17:41:52.337,MSGF,1,8,33,228
97118,2025-10-06_17:41:53.130,MSGF,1,9,33,228
97917,2025-10-06_17:41:53.929,MSGF,1,10,33,229
98726,2025-10-06_17:41:54.738,MSGF,1,11,33,229
99530,2025-10-06_17:41:55.542,MSGF,1,12,33,229
100334,2025-10-06_17:41:56.346,MSGF,1,13,33,229
101138,2025-10-06_17:41:57.150,MSGF,1,14,33,229
101947,2025-10-06_17:41:58.959,MSGF,1,15,33,229
102756,2025-10-06_17:41:58.768,MSGF,1,16,33,229
103560,2025-10-06_17:41:59.572,MSGF,1,17,33,229
104364,2025-10-06_17:42:00.376,MSGF,1,18,33,229
105168,2025-10-06_17:42:01.180,MSGF,1,19,33,229
105978,2025-10-06_17:42:02.990,MSGF,1,20,33,229
106787,2025-10-06_17:42:02.799,MSGF,1,21,33,229
107591,2025-10-06_17:42:03.603,MSGF,1,22,33,229
108395,2025-10-06_17:42:04.407,MSGF,1,23,33,229
109199,2025-10-06_17:42:05.211,MSGF,1,24,33,229
110008,2025-10-06_17:42:06.020,MSGF,1,25,33,229
110817,2025-10-06_17:42:06.829,MSGF,1,26,33,229
111621,2025-10-06_17:42:07.633,MSGF,1,27,33,229
112425,2025-10-06_17:42:08.437,MSGF,1,28,33,229
113229,2025-10-06_17:42:09.241,MSGF,1,29,33,229
114038,2025-10-06_17:42:10.050,MSGF,1,30,33,229
114847,2025-10-06_17:42:10.859,MSGF,1,31,33,229
115434,2025-10-06_17:42:11.442,MSGF,1,32,33,146
,,,,,,
169574,2025-10-06_17:43:05.586,MSGF,2,0,33,228
170374,2025-10-06_17:43:06.386,MSGF,2,1,33,228
171167,2025-10-06_17:43:07.179,MSGF,2,2,33,228
171966,2025-10-06_17:43:08.978,MSGF,2,3,33,228
172759,2025-10-06_17:43:08.771,MSGF,2,4,33,228
173552,2025-10-06_17:43:09.564,MSGF,2,5,33,228
174351,2025-10-06_17:43:10.363,MSGF,2,6,33,228
175144,2025-10-06_17:43:11.156,MSGF,2,7,33,228
175943,2025-10-06_17:43:12.955,MSGF,2,8,33,228
176736,2025-10-06_17:43:12.748,MSGF,2,9,33,228
177529,2025-10-06_17:43:13.541,MSGF,2,10,33,229
178338,2025-10-06_17:43:14.350,MSGF,2,11,33,229
179142,2025-10-06_17:43:15.154,MSGF,2,12,33,229
179951,2025-10-06_17:43:16.963,MSGF,2,13,33,229
180754,2025-10-06_17:43:16.766,MSGF,2,14,33,229
181557,2025-10-06_17:43:17.569,MSGF,2,15,33,229
182366,2025-10-06_17:43:18.378,MSGF,2,16,33,229
183170,2025-10-06_17:43:19.182,MSGF,2,17,33,229
183979,2025-10-06_17:43:20.991,MSGF,2,18,33,229
184782,2025-10-06_17:43:20.794,MSGF,2,19,33,229
185585,2025-10-06_17:43:21.597,MSGF,2,20,33,229
186394,2025-10-06_17:43:22.406,MSGF,2,21,33,229
187198,2025-10-06_17:43:23.210,MSGF,2,22,33,229
188007,2025-10-06_17:43:24.019,MSGF,2,23,33,229
188810,2025-10-06_17:43:24.822,MSGF,2,24,33,229
189613,2025-10-06_17:43:25.625,MSGF,2,25,33,229
190422,2025-10-06_17:43:26.434,MSGF,2,26,33,229
191226,2025-10-06_17:43:27.238,MSGF,2,27,33,229
192035,2025-10-06_17:43:28.047,MSGF,2,28,33,229
192838,2025-10-06_17:43:28.850,MSGF,2,29,33,229
