time_ms,local_time,packet_type,sequence_no,fragment_idx,total_fragments,packet_size_bytes


38079,2025-10-06_19:06:44.337,MSGF,0,0,131,79
38484,2025-10-06_19:06:44.743,MSGF,0,1,131,79
38888,2025-10-06_19:06:45.146,MSGF,0,2,131,79
39292,2025-10-06_19:06:45.550,MSGF,0,3,131,79
39700,2025-10-06_19:06:45.958,MSGF,0,4,131,79
40104,2025-10-06_19:06:46.362,MSGF,0,5,131,79
40508,2025-10-06_19:06:46.766,MSGF,0,6,131,79
40912,2025-10-06_19:06:47.170,MSGF,0,7,131,79
41316,2025-10-06_19:06:47.574,MSGF,0,8,131,79
41731,2025-10-06_19:06:47.989,MSGF,0,9,131,79
42135,2025-10-06_19:06:48.393,MSGF,0,10,131,80
42549,2025-10-06_19:06:48.807,MSGF,0,11,131,80
42963,2025-10-06_19:06:49.221,MSGF,0,12,131,80
43377,2025-10-06_19:06:49.635,MSGF,0,13,131,80
43803,2025-10-06_19:06:49.061,MSGF,0,14,131,80
44217,2025-10-06_19:06:50.475,MSGF,0,15,131,80
44631,2025-10-06_19:06:50.889,MSGF,0,16,131,80
45045,2025-10-06_19:06:51.303,MSGF,0,17,131,80
45459,2025-10-06_19:06:51.717,MSGF,0,18,131,80
45885,2025-10-06_19:06:52.143,MSGF,0,19,131,80
46299,2025-10-06_19:06:52.557,MSGF,0,20,131,80
46713,2025-10-06_19:06:52.971,MSGF,0,21,131,80
47127,2025-10-06_19:06:53.385,MSGF,0,22,131,80
47541,2025-10-06_19:06:53.799,MSGF,0,23,131,80
47967,2025-10-06_19:06:54.225,MSGF,0,24,131,80
48381,2025-10-06_19:06:54.639,MSGF,0,25,131,80
48795,2025-10-06_19:06:54.053,MSGF,0,26,131,80
49209,2025-10-06_19:06:55.467,MSGF,0,27,131,80
49623,2025-10-06_19:06:55.881,MSGF,0,28,131,80
50049,2025-10-06_19:06:56.307,MSGF,0,29,131,80
50463,2025-10-06_19:06:56.721,MSGF,0,30,131,80
50877,2025-10-06_19:06:57.135,MSGF,0,31,131,80
51291,2025-10-06_19:06:57.549,MSGF,0,32,131,80
51705,2025-10-06_19:06:57.963,MSGF,0,33,131,80
52131,2025-10-06_19:06:58.389,MSGF,0,34,131,80
52545,2025-10-06_19:06:58.803,MSGF,0,35,131,80
52959,2025-10-06_19:06:59.217,MSGF,0,36,131,80
53373,2025-10-06_19:06:59.631,MSGF,0,37,131,80
53787,2025-10-06_19:06:59.045,MSGF,0,38,131,80
54213,2025-10-06_19:07:00.471,MSGF,0,39,131,80
54627,2025-10-06_19:07:00.885,MSGF,0,40,131,80
55041,2025-10-06_19:07:01.299,MSGF,0,41,131,80
55455,2025-10-06_19:07:01.713,MSGF,0,42,131,80
55869,2025-10-06_19:07:01.127,MSGF,0,43,131,80
56295,2025-10-06_19:07:02.553,MSGF,0,44,131,80
56709,2025-10-06_19:07:02.967,MSGF,0,45,131,80
57123,2025-10-06_19:07:03.381,MSGF,0,46,131,80
57537,2025-10-06_19:07:03.795,MSGF,0,47,131,80
57951,2025-10-06_19:07:04.209,MSGF,0,48,131,80
58377,2025-10-06_19:07:04.635,MSGF,0,49,131,80
