time_ms,local_time,packet_type,sequence_no,fragment_idx,total_fragments,packet_size_bytes
55167,2025-10-15_19:16:50.172,MSGF,0,0,131,79
57671,2025-10-15_19:16:53.676,MSGF,0,1,131,79
60174,2025-10-15_19:16:55.179,MSGF,0,2,131,79
62677,2025-10-15_19:16:58.682,MSGF,0,3,131,79
65186,2025-10-15_19:17:00.191,MSGF,0,4,131,79
67689,2025-10-15_19:17:03.694,MSGF,0,5,131,79
70192,2025-10-15_19:17:05.197,MSGF,0,6,131,79
72695,2025-10-15_19:17:08.700,MSGF,0,7,131,79
75198,2025-10-15_19:17:10.203,MSGF,0,8,131,79
77712,2025-10-15_19:17:13.717,MSGF,0,9,131,79
80215,2025-10-15_19:17:15.220,MSGF,0,10,131,80
82718,2025-10-15_19:17:18.723,MSGF,0,11,131,80
100694,2025-10-15_19:17:36.699,MSGF,0,12,131,80
103197,2025-10-15_19:17:38.202,MSGF,0,13,131,80
105711,2025-10-15_19:17:41.716,MSGF,0,14,131,80
108214,2025-10-15_19:17:43.219,MSGF,0,15,131,80
110717,2025-10-15_19:17:46.722,MSGF,0,16,131,80
113220,2025-10-15_19:17:48.225,MSGF,0,17,131,80
115723,2025-10-15_19:17:51.728,MSGF,0,18,131,80
118237,2025-10-15_19:17:53.242,MSGF,0,19,131,80
120740,2025-10-15_19:17:56.745,MSGF,0,20,131,80
123243,2025-10-15_19:17:59.248,MSGF,0,21,131,80
125746,2025-10-15_19:18:01.751,MSGF,0,22,131,80
128249,2025-10-15_19:18:04.254,MSGF,0,23,131,80
130763,2025-10-15_19:18:06.768,MSGF,0,24,131,80
133266,2025-10-15_19:18:09.271,MSGF,0,25,131,80
135769,2025-10-15_19:18:11.774,MSGF,0,26,131,80
138272,2025-10-15_19:18:14.277,MSGF,0,27,131,80
140775,2025-10-15_19:18:16.780,MSGF,0,28,131,80
143289,2025-10-15_19:18:19.294,MSGF,0,29,131,80
145792,2025-10-15_19:18:21.797,MSGF,0,30,131,80
148295,2025-10-15_19:18:24.300,MSGF,0,31,131,80
150798,2025-10-15_19:18:26.803,MSGF,0,32,131,80
153301,2025-10-15_19:18:29.306,MSGF,0,33,131,80
155815,2025-10-15_19:18:31.820,MSGF,0,34,131,80
158318,2025-10-15_19:18:34.323,MSGF,0,35,131,80
160821,2025-10-15_19:18:36.826,MSGF,0,36,131,80
176220,2025-10-15_19:18:51.225,MSGF,0,37,131,80
178723,2025-10-15_19:18:54.728,MSGF,0,38,131,80
181237,2025-10-15_19:18:56.242,MSGF,0,39,131,80
183740,2025-10-15_19:18:59.745,MSGF,0,40,131,80
186243,2025-10-15_19:19:02.248,MSGF,0,41,131,80
188746,2025-10-15_19:19:04.751,MSGF,0,42,131,80
191249,2025-10-15_19:19:07.254,MSGF,0,43,131,80
